,name,city,country,region,members,fullurl,created,past_events,upcoming_events,visibility,last_event
77,Bogotá R Users Group Meetup (Shiny data apps),Bogotá,Colombia,Latin America,151,https://www.meetup.com/Bogota-R-Users-Group-Meetup-Shiny-data-apps/,27-12-2014,1,0,public,22-01-2015
78,Waco R User Group,Waco,USA,US/Canada,3,https://www.meetup.com/waco-r-user-group/,20-05-2021,0,0,public,01-01-1970
79,DuPage R Meetup,Lisle,USA,US/Canada,234,https://www.meetup.com/DuPage-R-Meetup/,18-09-2018,6,0,public,03-10-2019
80,New York R User Group,New York,USA,US/Canada,1053,https://www.meetup.com/New-York-R-Users-Group/,24-08-2013,43,3,public,02-11-2016
81,CopenhagenR - useR Group,Copenhagen,Denmark,Europe,1382,https://www.meetup.com/CopenhagenR-useR-Group/,03-09-2013,36,0,public,14-01-2021
83,Zurich R User Group,Zürich,Switzerland,Europe,1932,https://www.meetup.com/Zurich-R-User-Group/,18-11-2015,32,0,public,29-10-2020
84,Mastering R at MI^2,Warsaw,Poland,Europe,101,https://www.meetup.com/Mastering-R-at-MI-2/,06-11-2018,1,0,public,03-12-2018
85,Grupo de Usuarios de R de Madrid,Madrid,Spain,Europe,2475,https://www.meetup.com/Grupo-de-Usuarios-de-R-de-Madrid/,20-02-2015,43,0,public,26-05-2021
86,Kansas City R Users Group,Kansas City,USA,US/Canada,1004,https://www.meetup.com/Kansas-City-R-Users-Group/,02-12-2013,85,7,public,08-05-2021
87,Trenton R Users (TRU),Trenton,USA,US/Canada,500,https://www.meetup.com/TRUgroup/,27-01-2015,75,7,public,22-05-2021
88,Inland Northwest R User Group (INRUG),Spokane,USA,US/Canada,163,https://www.meetup.com/Inland-Northwest-R-User-Group-INRUG/,29-03-2015,37,0,public,15-05-2021
89,Grupo de Usuários de R em Ouro Preto,Ouro Preto,Brazil,Latin America,33,https://www.meetup.com/Grupo-de-Usuarios-de-R-em-Ouro-Preto/,04-02-2020,3,0,public,17-03-2020
90,"Brasília UseR Meetup (Linguagem de Programação ""R"")",Brasília,Brazil,Latin America,593,https://www.meetup.com/Brasilia-UseR-Meetup/,05-07-2015,5,0,public,26-09-2017
91,Central Illinois SAS® User Group Meetup,Springfield,USA,US/Canada,107,https://www.meetup.com/Central-Illinois-SAS-User-Group-Meetup/,14-11-2014,31,0,public,13-05-2021
92,Winnipeg R User Group,Winnipeg,Canada,US/Canada,126,https://www.meetup.com/Winnipeg-R-User-Group/,03-11-2018,12,0,public,15-02-2020
93,Austin R User Group,Austin,USA,US/Canada,1635,https://www.meetup.com/Austin-R-User-Group/,16-01-2012,51,0,public,20-11-2019
95,Cleveland R User Group,Independence,USA,US/Canada,855,https://www.meetup.com/Cleveland-UseR-Group/,16-01-2012,88,2,public,12-06-2021
96,AalborgRUG,Aalborg,Denmark,Europe,227,https://www.meetup.com/AalborgRUG/,30-09-2017,17,0,public,03-06-2021
97,IndyUseR Group,Indianapolis,USA,US/Canada,603,https://www.meetup.com/Indy-useR-Group/,28-06-2013,72,4,public,18-05-2021
98,Lucerne R User Group,Luzern,Switzerland,Europe,94,https://www.meetup.com/Lucerne-R-User-Group/,08-04-2020,9,0,public,26-05-2021
99,KNIME User Group UK,London,United Kingdom,Europe,414,https://www.meetup.com/KNIME-User-Group-UK/,29-11-2013,38,1,public,01-06-2021
100,Greater Portland useR Group (R programming language),Portland,USA,US/Canada,179,https://www.meetup.com/Greater-Portland-useR-Group/,10-08-2018,13,1,public,13-01-2021
101,B'moRe R PRogramming for EveRyone,Baltimore,USA,US/Canada,65,https://www.meetup.com/bmore-r-programming-for-everyone/,29-11-2020,6,0,public,13-05-2021
102,Meetup de Grupo de Usuarios de R de Málaga,Málaga,Spain,Europe,180,https://www.meetup.com/Meetup-de-Grupo-de-Usuarios-de-R-de-Malaga/,15-02-2019,11,0,public,24-02-2021
103,Sevilla R Users,Sevilla,Spain,Europe,613,https://www.meetup.com/Sevilla-R-users/,13-03-2017,27,0,public,24-06-2020
104,Patra's R Users Group,Pátrai,Greece,Europe,138,https://www.meetup.com/Patras-R-Users-Group/,07-05-2015,3,0,public,07-10-2015
105,ZagReb,Zagreb,Croatia,Europe,272,https://www.meetup.com/zagreb-r-group/,30-03-2017,5,0,public,04-04-2018
106,Portsmouth R User Group Meetup,Portsmouth,United Kingdom,Europe,188,https://www.meetup.com/Portsmouth-R-User-Group/,26-06-2018,10,0,public,14-01-2021
107,Prague R Meetup Group,Prague,Czech Republic,Europe,663,https://www.meetup.com/Prague-R-Meetup-Group/,16-03-2015,8,0,public,22-05-2019
108,R User Group Finland,Helsinki,Finland,Europe,257,https://www.meetup.com/R-User-Group-Finland/,31-08-2015,1,0,public,30-09-2015
109,Campinas R Users Meetup,Campinas,Brazil,Latin America,327,https://www.meetup.com/Campinas-R-Users-Meetup/,19-11-2014,10,0,public,18-11-2015
110,UVa R Users Group,Charlottesville,USA,US/Canada,596,https://www.meetup.com/UVa-R-Users-Group/,04-08-2014,23,0,public,27-08-2019
111,Charlotte R Users Group,Charlotte,USA,US/Canada,866,https://www.meetup.com/Charlotte-R-Users-Group/,17-12-2013,32,0,public,21-04-2020
112,Panama R User's Group,Panamá,Panama,Latin America,568,https://www.meetup.com/Panama-R-Users-Group/,13-02-2017,18,0,public,28-03-2020
113,Ann Arbor R User Group,Ann Arbor,USA,US/Canada,791,https://www.meetup.com/Ann-Arbor-R-User-Group/,26-05-2014,69,0,public,10-12-2020
114,San Carlos R User Group,Quesada,Costa Rica,Latin America,636,https://www.meetup.com/San-Carlos-R-User-Group/,20-01-2016,35,0,public,10-08-2019
115,Dallas R Users Group,Dallas,USA,US/Canada,2250,https://www.meetup.com/Dallas-R-Users-Group/,19-02-2011,87,0,public,22-04-2021
116,The México City R Users Group,México City,Mexico,Latin America,159,https://www.meetup.com/The-Mexico-City-R-Users-Group/,05-02-2014,4,0,public,02-12-2015
117,Utah County R User Group,Provo,USA,US/Canada,113,https://www.meetup.com/utah-county-rug/,22-01-2019,6,0,public,27-02-2020
118,Wellington R Users Group (WRUG),Wellington,New Zealand,Australia,345,https://www.meetup.com/Wellington-R-Users-Group-WRUG/,04-09-2013,12,0,public,27-02-2018
119,Oslo useR! Group,Oslo,Norway,Europe,1761,https://www.meetup.com/Oslo-useR-Group/,11-02-2015,39,1,public,20-05-2021
120,R User Group - Philippines,Manila,Philippines,Asia,1463,https://www.meetup.com/R-User-Group-Philippines/,20-08-2013,88,3,public,19-05-2021
121,Salt Lake City R Users Group,Salt Lake City,USA,US/Canada,1377,https://www.meetup.com/slc-rug/,06-11-2017,34,1,public,05-05-2021
122,RVA R User's Group.,Richmond,USA,US/Canada,50,https://www.meetup.com/RVA-R-Users-Group/,29-01-2018,9,0,public,18-12-2019
123,Waco R Users Group (OLD),Waco,USA,US/Canada,6,https://www.meetup.com/waco-r-users-group/,20-05-2021,0,0,public,01-01-1970
124,Malaysia R User Public Group,Kuala Lumpur,Malaysia,Asia,266,https://www.meetup.com/Malaysia-R-User-Group/,25-09-2018,4,0,public,21-11-2020
125,Tecate BC México R Users Group Meetup,Tecate,Mexico,Latin America,17,https://www.meetup.com/Tecate-BC-Mexico-R-Users-Group-Meetup/,11-09-2014,0,0,public,01-01-1970
126,San Diego R Users Group,San Diego,USA,US/Canada,59,https://www.meetup.com/sd-r-users/,06-10-2019,3,0,public,30-07-2020
127,Twin Cities R User Group (TCRUG),Minneapolis,USA,US/Canada,1876,https://www.meetup.com/twincitiesrug/,26-01-2011,67,0,public,22-05-2020
