Session,Title,Speaker,Talk_Type,YouTube,Materials
Time Series,"ztsdb, a time-series DBMS for R users",Leonardo Silvestri,lightning,https://youtu.be/duXYx_8TYm0,https://drive.google.com/file/d/1BUJLs4XbKHvaMsOD9R-STTitFmVeyawK/view?usp=sharing
Visualization,Doing Journalism with R,Benedict Witzenberger,regular,https://youtu.be/1bmdHy5vtfY,https://drive.google.com/file/d/1smt-pL2CajLb9YjWiT766ninqHA7WFTs/view?usp=sharing
Visualization,rtables,Gabriel Becker,regular,https://youtu.be/CBQzZ8ZhXLA,https://drive.google.com/file/d/11-YIM8yXTYtnj19uWuBNXw_1pXytJzlZ/view?usp=sharing
Visualization,Visualization of missing data and imputations in time series,Steffen Moritz,lightning,https://youtu.be/KZgvYBedGYo,https://drive.google.com/file/d/1IEIGsoSFHRu7LDta-XhJ0MNoZrWz1R6x/view?usp=sharing
Visualization,Your slides are so extra!,Gerrick Aden-Buie,lightning,https://youtu.be/vZMuu77ocMY,https://drive.google.com/file/d/1y-aFDggcYgzAf8dS1ffj2nhBIuQPybgv/view?usp=sharing
Visualization,Improving accessibility in data visualizations created by ggplot2,Christine Chai,poster,https://youtu.be/mbi_JVC1arM,https://drive.google.com/file/d/1SkERvYn85pdoNHF0262C6oxU-6WA1Btu/view?usp=sharing
Web Applications,Manage your Shiny app users,Alexander Matrunich,regular,https://youtu.be/_-DkR0ZjXMI,https://drive.google.com/file/d/1JZEqJ_TAz73fB-6GB_Z_Qyzn3CZN7RCX/view?usp=sharing
Web Applications,shi18ny: Internationalization for Shiny Apps,Juan Pablo Marin Diaz,regular,https://youtu.be/IVSCQHcTFLQ,https://drive.google.com/file/d/1A-3ETa_9ptXcvWnscnqBOALbkkqZMuX5/view?usp=sharing
Web Applications,Cybersecurity risk assessment with R,Corey Neskey,lightning,https://youtu.be/i0fIRhrSAzE,https://drive.google.com/file/d/1UaxUrUqx6AwtqzxrNU7tSiYacR8r5M-x/view?usp=sharing
Web Applications,metashiny: build Shiny apps with a Shiny app,Bo Wang,lightning,https://youtu.be/0hmQer9l4eY,https://drive.google.com/file/d/1PBmve5Fv8zXyTxmzxj8XFSYVTocqvhOp/view?usp=sharing
Web Applications,Very Easy Web Scraping with ralger,Mohamed El Fodil Ihaddaden,lightning,https://youtu.be/OHi6E8jegQg,https://drive.google.com/file/d/1C0X8ZtCz5nivF7zV9wcqI8LzCwg0H62x/view?usp=sharing
